huc4,HUC_count,gained_urban_area,stable_urban_area,crop_gain_area,crop_loss_area,dry_transition_area,wet_transition_area,stable_urban_dry_area,gained_urban_dry_area,stable_urban_wet_area,gained_urban_wet_area,crop_loss_dry_area,crop_gain_dry_area,crop_loss_wet_area,crop_gain_wet_area,urbanization_percent,cropland_change_perc,stable-urban_dry_perc,gained-urban_dry_perc,urban_dry_perc,stable-urban_wet_perc,gained-urban_wet_perc,urban_wet_perc,crop-loss_dry_perc,crop-gain_dry_perc,crop_dry_perc,crop-loss_wet_perc,crop-gain_wet_perc,crop_wet_perc
1401,42746322,476.3799,1841.2803,503.5077,47.0286,31.0572,18.4356,1.0512,2.0394,0.9549,0.8406,0.0387,0.1152,0.3303,0.0495,6.02432649059257,1.4310166848974748,3.3847223832154856,6.566593253738263,9.95131563695375,5.179652411638352,4.559656317125562,9.739308728763913,0.12460878636837834,0.370928480352382,0.49553726672076037,1.7916422573716069,0.26850224565514547,2.0601445030267524
1402,34383242,332.4024,1060.5978,696.6927,46.2402,24.4107,7.7067,0.4824,1.332,0.2934,0.3375,0.0216,0.2943,0.2592,0.0279,4.501547585303329,2.400823633792299,1.9761825756737825,5.456623529845519,7.432806105519301,3.807076959009693,4.379306317879248,8.186383276888941,0.08848578697046788,1.2056188474726248,1.2941046344430926,3.3633072521312624,0.36202265561135116,3.7253299077426134
1403,35722783,120.0744,592.7949,182.0403,21.8169,21.8268,4.2588,0.1962,0.8271,0.0756,0.0558,0.1827,0.4077,0.027,0.1143,2.2172880539570503,0.6340715391631162,0.8988949365000826,3.7893781956127333,4.6882731321128155,1.7751479289940828,1.3102282333051565,3.085376162299239,0.8370443674748475,1.8678871845620983,2.7049315520369457,0.6339814032121724,2.68385460693153,3.3178360101437026
1404,93245179,235.3023,1030.1031,235.8432,35.4015,39.8835,55.9674,0.2304,0.5139,0.4302,0.3798,0.6939,0.09,1.0269,0.0234,1.5078591891597957,0.323215637775761,0.5776825002820716,1.288502764301027,1.8661852645830985,0.7686617566654874,0.6786093332904513,1.4472710899559387,1.739817217646395,0.2256572266726842,1.9654744443190793,1.834818126266362,0.04181005370983823,1.8766281799762004
1405,58342496,259.8066,958.7106,445.2966,65.7081,21.0546,17.3421,0.3159,0.3726,0.2268,0.2754,0.0648,0.2997,0.1998,0.0639,2.320620633028796,0.9731894226808533,1.5003847140292383,1.7696845344960244,3.270069248525263,1.3078000934142926,1.5880429705744978,2.8958430639887904,0.30777122339061297,1.423441908181585,1.731213131572198,1.1521096061030671,0.36846748663656653,1.5205770927396336
1406,63352074,301.2696,933.1101,1207.1664,76.4613,43.5681,28.764,0.1719,0.4752,0.0765,0.1512,0.7209,1.3473,0.7866,0.684,2.1649378045618524,2.251312245910055,0.3945547315581813,1.090706273626805,1.4852610051849862,0.26595744680851063,0.525657071339174,0.7916145181476847,1.6546509946497552,3.0924001735214524,4.7470511681712075,2.7346683354192742,2.3779724655819776,5.112640801001252
1407,57685958,60.9786,317.2329,155.0655,11.2995,265.095,3.4542,0.045,0.3393,0.0234,0.0108,1.0791,0.4428,0.0846,0.0,0.7284875116401811,0.3204419349332814,0.01697504668137837,0.1279918519775929,0.14496689865897128,0.6774361646690985,0.3126628452318916,0.9900990099009901,0.40706161941945335,0.1670344593447632,0.5740960787642165,2.4491922876498173,0.0,2.4491922876498173
1408,104328808,539.9775,2219.742,1322.7714,156.5055,100.6263,26.6022,0.9936,1.989,0.4716,0.3969,0.3186,3.1005,0.0774,0.0387,2.9391258836197953,1.5754430933400485,0.987415814752207,1.9766204262702696,2.9640362410224768,1.7727857094526018,1.4919818661614452,3.264767575614047,0.3166170275564142,3.081202429186008,3.397819456742422,0.290953379795656,0.145476689897828,0.43643006969348397
1501,126496342,848.457,2577.7134,302.5224,29.8728,378.1062,23.1048,0.3375,2.0709,0.1998,0.3672,1.7748,2.0043,0.2493,0.1431,3.0094593565401286,0.2919673360989364,0.0892606362974212,0.5477032643209765,0.6369639006183977,0.8647553755063884,1.589280149579308,2.4540355250856964,0.46939193274270563,0.5300891654249521,0.9994810981676577,1.0789965721408536,0.6193518229978187,1.6983483951386722
1502,111044747,400.7601,1560.4272,38.9997,26.7678,52.5024,47.7702,0.297,0.3645,0.1953,0.1278,0.0747,0.9234,0.0891,0.4743,1.9623593721187012,0.06580680489100488,0.5656884256719692,0.6942539769610532,1.2599424026330224,0.4088322845623422,0.267530803722823,0.6763630882851652,0.1422792100932529,1.758776741634668,1.9010559517279209,0.18651795470816532,0.9928784053656883,1.1793963600738535
