huc4,permanent_area_period1,seasonal_area_period1,nowater_area_period1,permanent_area_period2,seasonal_area_period2,nowater_area_period2,perm_nowater_trans_area,perm_seasonal_trans_area,seasonal_nowater_trans_area,seasonal_perm_trans_area,nowater_seasonal_trans_area,nowater_perm_trans_area,dry_transition_area,wet_transition_area,total_area_period1,total_area_period2,perm_diff_92_19,season_diff_92_19,total_diff_92_19,perm_nowater_perc,perm_season_perc,seasonal_nowater_perc,seasonal_perm_perc,nowater_season_perc,nowater_perm_perc,dry_trans_area_perc,wet_trans_area_perc
1401,154.6884,51.5214,40.3578,160.2297,89.5428,27.4122,1.9062,13.2561,6.0111,9.6381,16.947,8.9388,21.1734,35.5239,206.2098,249.7725,3.582233703367548,73.79729588093491,21.12542662860834,1.2322837394400614,8.56955014079918,11.667190720749048,18.7069838940712,41.991882610053075,22.148878283751845,0.6039936596840009,2.2743354061317342
1402,84.1095,36.3699,16.9749,82.3743,47.1501,14.7186,0.5202,9.0981,4.5522,6.2883,7.605,1.1997,14.1705,15.093,120.4794,129.5244,-2.063024985287027,29.64044443344634,7.507507507507522,0.6184794821036863,10.81697073457814,12.516394051124694,17.289846823884584,44.80144212926144,7.067493770213668,0.6918683389271625,1.6643112907195539
1403,50.013,29.4939,18.2808,52.0605,30.3561,23.1255,1.0845,3.5334,7.8372,5.8608,4.3146,0.585,12.4551,10.7604,79.5069,82.4166,4.093935576750044,2.9233163467700147,3.659682367190773,2.1684362065862874,7.064963109591506,26.572274266882307,19.871227609776938,23.601811736904295,3.2000787711697516,0.9214960477348138,1.324895197421131
1404,430.4565,117.1989,113.1615,470.349,146.1897,120.1194,2.6559,10.1169,13.1382,29.1924,40.7727,20.7387,25.911,90.7038,547.6554,616.5387,9.267486958612539,24.736409642070015,12.577854614416283,0.6169961424673573,2.3502723271689474,11.210173474324419,24.90842490842491,36.030540422316776,18.326639360559906,0.2783094023337002,2.316160957811683
1405,47.4561,61.1937,28.5057,51.0858,70.3098,23.9616,0.5346,6.0597,7.5834,5.9085,10.1241,3.7764,14.177700000000002,19.809,108.6498,121.3956,7.648542547744125,14.897121762534372,11.731084640744854,1.1265148210662064,12.76906446168143,12.392452164193374,9.655405703528304,35.51605468380008,13.247876740441386,0.7675875638438142,1.299044691622962
1406,253.4706,96.6762,86.1021,269.37,103.6215,79.7616,1.2798,14.3442,12.8043,24.1533,19.5651,6.2775,28.4283,49.995900000000006,350.1468,372.9915,6.272680145152935,7.184084604070085,6.524320656364699,0.5049106286882976,5.659117862189935,13.244521402372042,24.983708503230375,22.723139156884677,7.290762943064107,0.47758624130692345,1.6090177521717006
1407,510.9237,51.5898,236.4327,449.0721,92.727,273.087,39.141,28.4436,18.6723,4.6539,22.0365,0.5328,86.2569,27.223200000000002,562.5135,541.7991,-12.105838895318424,79.73901817801196,-3.682471620681116,7.66083076592454,5.567093481864317,36.19378249188793,9.02096926136562,9.320411262909065,0.22534953921348444,0.9020112929054408,0.5559859753603809
1408,153.1791,87.0039,116.8218,165.8241,85.9842,118.5471,8.2188,11.1348,28.6749,18.3411,24.1398,12.9546,48.0285,55.435500000000005,240.183,251.80829999999997,8.255042626572411,-1.1720164268498312,4.84018435942593,5.365483933513122,7.269137891526977,32.95817773686007,21.080779137486942,20.663780219102943,11.089197392952341,1.1762722100868677,1.5998530924735608
1501,676.0125,85.0086,229.4442,551.6226,117.801,377.2152,118.2591,28.1214,43.4232,9.2826,14.0985,11.5803,189.80370000000002,34.9614,761.0211,669.4236000000001,-18.400532534531536,38.57539119571432,-12.036131455487892,17.493626227325677,4.159893493093693,51.08094945687848,10.919601075655876,6.144631243674933,5.047109493288564,1.4670977623894745,0.6540100584814225
1502,28.8774,81.8712,136.7118,35.9082,92.0277,132.8841,2.6955,4.1796,31.8006,10.0512,37.5336,3.7764,38.6757,51.361200000000004,110.74860000000001,127.9359,24.347067256747486,12.405461261102797,15.519202951549719,9.334289098048993,14.473602194103346,38.84223023480784,12.276844604696157,27.454543060657528,2.7623072770602097,2.054239219701728,1.3821967210732442
